question,answer
"Comment voir mes réservations du jour ?","Le tableau de bord Aujourd'hui affiche les arrivées, les départs et les séjours en cours pour la date du jour. Vous pouvez aussi consulter les vues Arrivées et Départs pour une semaine donnée."
"Comment créer une réservation directe ?","Dans le menu Réservations, cliquez sur ""Nouvelle réservation"". Sélectionnez le logement, les dates d'arrivée et de départ, renseignez les informations du voyageur. Le prix est calculé automatiquement depuis le calendrier Beds24."
"Comment le prix d'une réservation directe est-il calculé ?","Le prix est calculé nuit par nuit en lisant les tarifs de votre calendrier Beds24. Des réductions peuvent s'appliquer pour les séjours de 7 nuits ou plus (selon configuration). Les frais de ménage et la taxe de séjour sont ajoutés séparément."
"Comment configurer les frais de ménage ?","Dans Logements, cliquez sur le logement concerné et accédez à la configuration. Vous pouvez y définir les frais de ménage, le code d'accès, les seuils de réduction long séjour et le supplément par personne supplémentaire."
"Qu'est-ce que le code d'accès ?","Le code d'accès est le code de la boîte à clés ou du digicode de votre logement. Il est intégré automatiquement dans les messages envoyés à vos voyageurs et dans les consignes de ménage. Vous pouvez le régénérer aléatoirement depuis la fiche logement ou l'onglet Entretien d'une réservation."
"Comment régénérer le code d'accès ?","Dans Logements, ouvrez la configuration du logement et cliquez sur l'icône dé (🎲) à côté du champ code d'accès. Un nouveau code est généré et l'ancien est conservé comme ""code précédent"" pour faciliter la transition."
"Comment envoyer un message à un voyageur ?","Dans le menu Messages, sélectionnez la conversation du voyageur. Vous pouvez taper un message libre ou utiliser un modèle prédéfini. Les variables comme le code d'accès et les horaires sont insérées automatiquement."
"Comment créer un modèle de message ?","Dans Paramètres > Modèles de messages, créez des modèles avec des variables dynamiques ({{code}}, {{checkin}}, {{checkout}}, {{prénom}}, etc.). Ces modèles sont disponibles dans l'interface de messagerie."
"Les messages sont-ils envoyés en temps réel ?","Oui, la messagerie utilise WebSocket (technologie temps réel). Les nouveaux messages apparaissent instantanément sans recharger la page."
"Comment ajouter un prestataire (agent de ménage) ?","Dans Paramètres > Équipe, cliquez sur ""Ajouter un prestataire"". Renseignez le nom, l'email et le numéro de téléphone. Le propriétaire crée les accès — le prestataire ne peut pas s'inscrire lui-même."
"Comment le prestataire accède-t-il à l'application ?","Le prestataire se connecte via le portail Prestataire sur la page d'accueil (flowlyrent.com) avec les identifiants créés par le propriétaire. Il accède uniquement aux tâches qui lui sont assignées."
"Comment créer une tâche de ménage ?","Dans une réservation, ouvrez l'onglet Entretien. Définissez le type de tâche (ménage départ, préparation arrivée, etc.), la date, l'heure et assignez un prestataire. Le message récapitulatif est généré automatiquement avec le code d'accès."
"Le prestataire reçoit-il une notification pour ses tâches ?","Oui, le prestataire reçoit une notification push (si autorisée) et peut consulter ses tâches depuis son portail. Les tâches sont triées par date et incluent les informations du logement."
"Comment suivre l'avancement du ménage ?","Dans le menu Ménage, vous pouvez voir le statut de chaque tâche (en attente, en cours, terminée). Les prestataires mettent à jour le statut et peuvent signaler des incidents avec photos."
"Comment fonctionne le site de réservation directe ?","Chaque propriétaire dispose d'un site public accessible via une URL personnalisée (ex : flowlyrent.com/votre-slug). Les voyageurs peuvent y consulter vos logements, vérifier les disponibilités et réserver en ligne avec paiement par carte."
"Comment partager mon site de réservation ?","Dans Paramètres, vous trouverez l'URL de votre site public. Vous pouvez la copier et la partager sur vos réseaux sociaux, votre site web ou votre signature email."
"Comment personnaliser mon URL publique ?","Dans Paramètres > Profil, modifiez le champ ""Slug public"". L'URL devient flowlyrent.com/votre-slug. Choisissez un identifiant court et mémorisable."
"Les paiements en ligne sont-ils sécurisés ?","Oui, les paiements sont traités par Stripe, leader mondial du paiement en ligne. FlowlyRent ne stocke jamais les données de carte bancaire. Les transactions sont sécurisées par chiffrement SSL."
"Quels modes de paiement sont acceptés ?","Via le site de réservation directe, les voyageurs peuvent payer par carte bancaire (Visa, Mastercard, American Express) grâce à Stripe Checkout."
"Comment accéder à mes statistiques ?","Le tableau de bord offre une vue d'ensemble de votre activité. La section Stats (en développement) fournira des rapports détaillés sur vos revenus, taux d'occupation et performances par logement."
"Comment créer une facture ?","Dans le menu Factures, cliquez sur ""Nouvelle facture"". Sélectionnez le client, ajoutez les lignes (nuitées, ménage, etc.) et enregistrez. Les factures sont générables en PDF."
"Comment connecter Qonto ?","Dans Paramètres > Qonto, renseignez votre clé API Qonto. Une fois connecté, vos transactions bancaires sont synchronisées et catégorisées automatiquement dans l'onglet Dépenses."
"La plateforme est-elle disponible en plusieurs langues ?","Oui, FlowlyRent est disponible en français, anglais, espagnol, allemand et italien. La langue se sélectionne via le menu en haut à droite de chaque page."
"Sur quels appareils puis-je utiliser FlowlyRent ?","FlowlyRent est une application web responsive, accessible depuis n'importe quel navigateur (Chrome, Firefox, Safari, Edge) sur ordinateur, tablette et smartphone."
"Comment activer les notifications push ?","Lors de votre première connexion, le navigateur vous demande l'autorisation d'envoyer des notifications. Acceptez pour recevoir les alertes en temps réel (nouveaux messages, nouvelles réservations)."
"Mes données sont-elles sécurisées ?","Oui. Toutes les communications sont chiffrées via HTTPS. Les mots de passe sont stockés de façon irréversible (bcrypt). Les données sont hébergées sur des serveurs sécurisés en Europe."
"Qui peut voir mes données ?","Vos données sont strictement privées. Chaque compte propriétaire est isolé — aucun autre utilisateur ne peut accéder à vos logements, réservations ou messages."
"Comment signaler un bug ou faire une suggestion ?","Utilisez le menu Feedback dans votre portail propriétaire. Décrivez le problème ou la suggestion, et notre équipe vous répondra dans les meilleurs délais."
"Comment contacter le support ?","Via le menu Feedback ou par email à contact@flowlyrent.com. Nous répondons généralement sous 24 à 48 heures ouvrées."
"Puis-je gérer plusieurs logements avec un seul compte ?","Oui, selon votre plan. STARTER : jusqu'à 3 logements. PRO et AGENCE : logements illimités. Le plan FREE est limité à 1 logement."
"Qu'est-ce que le plan AGENCE ?","Le plan AGENCE à 49€/mois permet de gérer un nombre illimité de logements avec plusieurs utilisateurs connectés au même compte — idéal pour les agences de gestion locative."
"Comment changer de plan tarifaire ?","Dans Paramètres > Abonnement, vous pouvez passer à un plan supérieur. Le changement prend effet immédiatement et vous êtes facturé au prorata."
"Comment annuler mon abonnement ?","Vous pouvez annuler à tout moment depuis Paramètres > Abonnement. Votre accès reste actif jusqu'à la fin de la période en cours."
"Y a-t-il un engagement de durée ?","Non, FlowlyRent est sans engagement. Vous pouvez annuler votre abonnement à tout moment."
"Qu'est-ce que la commission de 2% sur le plan FREE ?","Sur le plan gratuit, FlowlyRent prélève 2% sur chaque réservation directe payée via la plateforme. Cette commission ne s'applique pas aux réservations importées depuis Beds24."
"Comment fonctionne la synchronisation des calendriers ?","FlowlyRent se synchronise avec Beds24 via l'API officielle. Les disponibilités, réservations et tarifs sont mis à jour à chaque consultation. Beds24 reste la source de vérité pour votre calendrier."
"Puis-je utiliser FlowlyRent sans Beds24 ?","Pour l'instant, Beds24 est requis pour synchroniser propriétés et réservations. Une intégration directe sans channel manager est prévue dans une future version."
"Comment configurer les horaires d'arrivée et de départ ?","Dans la configuration de chaque logement, définissez l'heure standard de check-in et check-out. Pour une réservation spécifique, vous pouvez personnaliser ces horaires dans l'onglet de la réservation."
"Puis-je bloquer des dates sur mon calendrier ?","Oui, les blocages de dates se gèrent directement dans Beds24 et sont automatiquement reflétés dans FlowlyRent. Vous pouvez aussi créer des réservations directes pour bloquer des créneaux."
"Comment voir les conflits de réservation ?","Lors de la création d'une réservation directe, FlowlyRent vérifie automatiquement les disponibilités et vous avertit en cas de chevauchement avec une réservation existante."
"Les inventaires de logement sont-ils gérés ?","Oui, dans la fiche logement vous pouvez renseigner l'inventaire (équipements, linge, mobilier). Cet inventaire est accessible aux prestataires lors de leurs interventions."
"Comment gérer le linge de maison ?","Dans la section Ménage, vous pouvez suivre l'utilisation du linge par intervention (draps, serviettes, etc.). Un inventaire du stock de linge est disponible par logement."
"Y a-t-il une application mobile ?","FlowlyRent est une application web progressive (PWA) accessible depuis le navigateur mobile. Une application native iOS/Android est prévue dans une future version."
"Comment exporter mes données ?","Des exports PDF et Excel sont disponibles pour les factures et rapports. L'export global des données peut être demandé au support."
"FlowlyRent est-il conforme au RGPD ?","Oui, FlowlyRent respecte le Règlement Général sur la Protection des Données (RGPD). Vous pouvez demander la suppression de vos données à tout moment en contactant le support."
